district_type,nbr_floors,units,hospital,bld_age,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,floor*age,Aver_trans,Aver_food,Aver_school,Aver_shop,price_sqm
3,7,98,2.9,25,1,1,1,1,1,0,0,0,0,1,0,1,175,3.12,0.26,0.894,1.88,42870
3,8,140,1.5,20,1,1,1,1,1,0,1,0,1,1,1,1,160,1.86,0.3125,1.36,1.48,36295
3,8,79,0.92,10,1,1,1,1,1,0,1,1,0,0,0,1,80,2.32,0.15025,0.516,0.524,90412
3,8,154,3.3,6,1,1,1,1,1,0,0,1,0,0,0,0,48,1.92,0.5175,0.6126,1.78,105329
3,20,273,1.8,26,1,1,1,1,0,0,0,0,0,0,0,0,520,2.964,1.33,1.392,2.84,42768
3,8,308,0.62,11,1,1,1,1,1,0,1,0,1,1,0,1,88,2.9,0.13975,0.41,0.432,95144
3,8,54,2.3,13,1,1,1,1,1,0,1,1,0,0,0,1,104,1.408,0.6045,0.818,1.38,69000
3,8,223.5,2.9,24,1,1,1,1,1,0,0,0,0,1,0,1,192,1.92,0.7825,1.3,1.292,40843
3,8,678,2,4,1,1,1,1,1,0,1,1,0,0,0,0,32,2.64,0.73,1.34,1.5,119090
3,8,79,0.92,7,1,1,1,1,1,0,1,1,0,1,0,0,56,3.02,0.6925,0.688,1.014,86595
3,8,207,0.81,6,1,1,1,1,1,0,1,0,1,0,0,1,48,3.22,0.22,0.42,0.66,84054
3,7,79,4,12,1,1,1,1,0,0,0,0,0,1,0,0,84,3.82,0.575,1.5,1.94,36667
3,8,79,2.2,7,1,1,1,1,1,0,1,1,0,0,0,0,56,1.78,0.4475,0.6666,1.2,87167
3,5,68,1.8,26,1,1,1,1,1,0,0,0,0,0,0,0,130,1.626,0.455,1.106,0.824,44660
3,8,76,2.8,10,1,1,1,1,1,0,1,0,1,1,0,1,80,1.606,0.395,1.21,1.346,85894
3,9,142,2.5,10,1,1,1,1,1,0,1,0,0,1,0,1,90,0.98,0.324,0.588,1.32,65022
3,8,123,2.7,10,1,1,1,1,0,0,1,1,0,0,0,0,80,1.454,0.2595,1.018,1.294,72754
